Freq,Re(Av),Im(Av),Re(Ai),Im(Ai),Re(Pin),Im(Pin),Re(Pout),Im(Pout),Re(Zin),Im(Zin),Re(Zout),Im(Zout),Re(Vin),Im(Vin),Re(Vout),Im(Vout),Re(Iin),Im(Iin),Re(Iout),Im(Iout)
Hz,,,,,W,W,W,W,Ohms,Ohms,Ohms,Ohms,V,V,V,V,A,A,A,A
4.631e+05,3.023e-01,5.213e+00,1.061e+00,1.303e-01,-4.534e-04,1.723e-03,-9.435e-03,-3.143e-03,4.614e+02,-6.633e+02,4.378e+01,-2.403e+02,1.823e-01,2.364e-01,-1.177e+00,1.022e+00,3.645e-03,4.728e-03,3.250e-03,5.490e-03
4.698e+05,3.485e-04,6.324e+00,9.337e-01,1.581e-01,2.799e-04,-8.104e-05,1.987e-04,1.734e-03,2.001e+03,2.909e+02,5.576e+01,-3.292e+02,1.195e-01,-1.695e-02,1.072e-01,7.557e-01,2.390e-03,-3.390e-04,2.285e-03,6.130e-05
4.765e+05,-2.778e-01,6.964e+00,7.648e-01,1.741e-01,-5.816e-04,-8.738e-04,5.440e-03,-1.824e-03,4.653e+02,9.620e+02,8.128e+01,-4.368e+02,1.082e-01,-2.019e-01,1.376e+00,8.094e-01,2.163e-03,-4.039e-03,2.358e-03,-2.712e-03
4.832e+05,-5.163e-01,7.206e+00,5.777e-01,1.802e-01,-2.173e-03,-1.669e-03,1.026e-02,-6.181e-03,1.672e+02,6.395e+02,1.365e+02,-5.811e+02,1.190e-01,-3.505e-01,2.464e+00,1.039e+00,2.381e-03,-7.010e-03,2.638e-03,-3.620e-03
4.899e+05,-7.088e-01,7.148e+00,3.915e-01,1.787e-01,-4.153e-03,-2.724e-03,1.374e-02,-6.861e-03,9.358e+01,4.807e+02,2.700e+02,-7.897e+02,1.426e-01,-4.775e-01,3.312e+00,1.358e+00,2.853e-03,-9.550e-03,2.823e-03,-3.229e-03
4.966e+05,-8.556e-01,6.894e+00,2.201e-01,1.724e-01,-6.341e-03,-4.127e-03,1.438e-02,-3.007e-03,6.564e+01,3.897e+02,6.396e+02,-1.065e+03,1.750e-01,-5.896e-01,3.915e+00,1.711e+00,3.499e-03,-1.179e-02,2.803e-03,-1.993e-03
5.034e+05,-9.618e-01,6.542e+00,7.269e-02,1.635e-01,-8.582e-03,-5.878e-03,1.165e-02,3.969e-03,5.253e+01,3.311e+02,1.561e+03,-9.878e+02,2.133e-01,-6.889e-01,4.302e+00,2.058e+00,4.266e-03,-1.378e-02,2.563e-03,-3.038e-04
5.101e+05,-1.035e+00,6.174e+00,-4.553e-02,1.543e-01,-1.070e-02,-7.871e-03,6.220e-03,1.185e-02,4.567e+01,2.915e+02,1.931e+03,2.344e+02,2.541e-01,-7.743e-01,4.517e+00,2.370e+00,5.083e-03,-1.549e-02,2.159e-03,1.490e-03
5.168e+05,-1.083e+00,5.856e+00,-1.318e-01,1.464e-01,-1.249e-02,-9.856e-03,-2.444e-04,1.866e-02,4.190e+01,2.648e+02,1.288e+03,7.903e+02,2.924e-01,-8.426e-01,4.618e+00,2.625e+00,5.848e-03,-1.685e-02,1.696e-03,3.077e-03
5.235e+05,-1.112e+00,5.637e+00,-1.848e-01,1.409e-01,-1.377e-02,-1.145e-02,-5.614e-03,2.325e-02,3.980e+01,2.484e+02,9.256e+02,8.193e+02,3.217e-01,-8.900e-01,4.659e+00,2.803e+00,6.434e-03,-1.780e-02,1.320e-03,4.196e-03
5.302e+05,-1.128e+00,5.551e+00,-2.036e-01,1.388e-01,-1.441e-02,-1.226e-02,-7.980e-03,2.517e-02,3.870e+01,2.412e+02,8.235e+02,8.018e+02,3.356e-01,-9.129e-01,4.689e+00,2.893e+00,6.713e-03,-1.826e-02,1.167e-03,4.649e-03
5.369e+05,-1.134e+00,5.614e+00,-1.870e-01,1.404e-01,-1.435e-02,-1.203e-02,-6.280e-03,2.428e-02,3.830e+01,2.428e+02,9.145e+02,8.146e+02,3.307e-01,-9.094e-01,4.730e+00,2.888e+00,6.614e-03,-1.819e-02,1.316e-03,4.330e-03
5.436e+05,-1.129e+00,5.830e+00,-1.332e-01,1.457e-01,-1.358e-02,-1.083e-02,-6.954e-04,2.035e-02,3.859e+01,2.532e+02,1.282e+03,7.850e+02,3.077e-01,-8.796e-01,4.780e+00,2.787e+00,6.155e-03,-1.759e-02,1.744e-03,3.241e-03
5.503e+05,-1.109e+00,6.182e+00,-4.014e-02,1.546e-01,-1.216e-02,-8.975e-03,7.314e-03,1.328e-02,3.988e+01,2.732e+02,1.961e+03,1.505e+02,2.717e-01,-8.258e-01,4.804e+00,2.596e+00,5.434e-03,-1.652e-02,2.334e-03,1.503e-03
5.571e+05,-1.067e+00,6.634e+00,9.392e-02,1.658e-01,-1.025e-02,-6.902e-03,1.538e-02,3.714e-03,4.288e+01,3.042e+02,1.376e+03,-1.101e+03,2.295e-01,-7.518e-01,4.742e+00,2.325e+00,4.591e-03,-1.504e-02,2.925e-03,-6.507e-04
5.638e+05,-9.920e-01,7.117e+00,2.685e-01,1.779e-01,-8.043e-03,-4.961e-03,2.093e-02,-6.348e-03,4.922e+01,3.499e+02,4.819e+02,-1.006e+03,1.875e-01,-6.613e-01,4.521e+00,1.991e+00,3.751e-03,-1.323e-02,3.361e-03,-2.884e-03
